folder,album_artist,album,current_genre,tracks,new_genre,
Y:\Oasis\Singles\Oasis - 2003.02.03 - Songbird,Oasis,Songbird,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 1997.09.22 - Stand By Me,Oasis,Stand By Me,Rock,4,Rock,
Y:\Oasis\Albums\Oasis - 2000 - Standing on the Shoulder of Giants\CD1,Oasis,Standing On The Shoulder Of Giants,Rock,10,Rock,
Y:\Oasis\Albums\Oasis - 2000 - Standing on the Shoulder of Giants\CD2 - Bonus CD,Oasis,Standing on the Shoulder of Giants [Bonus CD],Rock,2,Rock,
Y:\Oasis\Singles\Oasis - 2002.06.17 - Stop Crying Your Heart Out,Oasis,Stop Crying Your Heart Out,Rock,3,Rock,
Y:\Oasis\Compilations\Oasis - 2006 - Stop The Clocks\CD1,Oasis,Stop The Clocks,Rock,9,Rock,
Y:\Oasis\Compilations\Oasis - 2006 - Stop The Clocks\CD2,Oasis,Stop The Clocks,Rock,9,Rock,
Y:\Oasis\Singles\Oasis - 2006.11.13 - Stop The Clocks EP,Oasis,Stop The Clocks EP,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 2000.07.03 - Sunday Morning Call,Oasis,Sunday Morning Call,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 1994.04.11 - Supersonic,Oasis,Supersonic,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 2002.04.15 - The Hindu Times,Oasis,The Hindu Times,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 2005.08.22 - The Importance Of Being Idle,Oasis,The Importance Of Being Idle,Rock,3,Rock,
Y:\#recycle\Oasis\Oasis - The Masterplan (1998),Oasis,The Masterplan,Blues,14,Rock,
Y:\#recycle\Oasis\Oasis - The Masterplan(1998),Oasis,The Masterplan,Blues,14,Rock,
Y:\Oasis\Compilations\Oasis - 1998 - The Masterplan,Oasis,The Masterplan,Rock,14,Rock,
Y:\Oasis\Singles\Oasis - 2008.09.29 - The Shock Of The Lightning,Oasis,The Shock of the Lightning,Rock,2,Rock,
Y:\Oasis\Singles\Oasis - 2008.11.26 - The Shock Of The Lightning (Japan Edition),Oasis,The Shock of the Lightning,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 2008.09.29 - The Shock Of The Lightning (Primal Scream Remix),Oasis,The Shock Of The Lightning (Primal Scream Remix),Rock,1,Rock,
Y:\Oasis\Compilations\Oasis - 2010 - Time Flies...1994-2009\CD1,Oasis,Time Flies... 1994-2009,Rock,13,Rock,
Y:\Oasis\Compilations\Oasis - 2010 - Time Flies...1994-2009\CD2,Oasis,Time Flies... 1994-2009,Rock,14,Rock,
Y:\Oasis\Compilations\Oasis - 2010 - Time Flies...1994-2009\CD4 - iTunes Live London Festival,Oasis,Time Flies... 1994-2009,Rock,16,Rock,
Y:\#recycle\Oasis\Oasis - Whatever (1994),Oasis,Whatever,,4,Rock,
Y:\Oasis\Singles\Oasis - 1994.12.19 - Whatever,Oasis,Whatever,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 2000.04.17 - Who Feels Love,Oasis,Who Feels Love?,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 1995.10.30 - Wonderwall,Oasis,Wonderwall,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 1995.10.30 - Wonderwall (US Edition),Oasis,Wonderwall (US Edition),Rock,5,Rock,
Y:\Ocean Colour Scene\Ocean Colour Scene - Moseley Shoals (1996),Ocean Colour Scene,Moseley Shoals,,12,,
Y:\Odetta\Odetta - Sings Ballads and Blues (1956),Odetta,Sings Ballads and Blues,,16,,
Y:\Of Monsters And Men\Of Monsters And Men - My Head is an Animal (2011),Of Monsters And Men,My Head is an Animal,,11,,
